dutch_word,english1,sentence1,english2,sentence2
"erg (bn/bw)","very","Het is erg koud buiten.","terribly","Hij voelt zich erg ziek."
"ergens","somewhere","Ergens ligt mijn jas.","anywhere","Ze zoekt ergens naar haar bril."
"erkennen","to admit","Hij moest zijn fout erkennen.","to acknowledge","Ze erkenden hun schuld."
"ernstig","serious","Hij maakte een ernstige fout.","grave","Ze is ernstig ziek."
"eruitzien","to look","Ze ziet er blij uit.","to appear","Hij ziet er moe uit."
"ervaren","to experience","Ze wil veel nieuwe dingen ervaren.","to go through","Hij heeft veel meegemaakt en ervaren."
"ervaren (bn)","experienced","Hij is een ervaren leraar.","skilled","Ze zijn ervaren monteurs."
"ervaring","experience","Ze heeft veel ervaring met lesgeven.","knowledge","Zijn ervaring hielp bij het oplossen."
"eten (het)","food","Het eten was heerlijk.","meal","Ze genoten van het eten."
"eten","to eat","Ze gingen samen eten.","to dine","We eten vaak om zes uur."
"even (bw)","just","Wacht even, ik kom zo.","for a moment","Ze keek even op."
"even (bn)","even","Het is een even getal.","equal","De taken zijn even verdeeld."
"evenals","as well as","Zij, evenals haar broer, kwam.","like","Evenals hij, vond ik het leuk."
"evengoed","nevertheless","Het was koud, evengoed gingen we.","still","Ze gingen evengoed wandelen."
"evenmin","neither","Ik hou er niet van en hij evenmin.","nor","Ze wilde niet en ik evenmin."
"eventjes","for a moment","Ik moet eventjes bellen.","briefly","Kun je eventjes wachten?"
"eventueel","possible","We kunnen eventueel morgen gaan.","potentially","Eventueel is er nog een kans."
"examen (het)","exam","Ze maakte haar examen.","test","Het examen was moeilijk."
"extra","extra","We kregen extra les.","additional","Hij bracht een extra stoel."
"F","F","De letter F komt na E.","eff","Hij oefende de F."
"fabriek","factory","Hij werkt in een fabriek.","plant","De fabriek produceert auto's."
"factor","factor","Er is een belangrijke factor.","element","De factor tijd speelt mee."
"februari","February","Ze zijn in februari jarig.","Feb","Februari is koud."
"familie","family","Ze bezochten hun familie.","relatives","De familie woont dichtbij."
"feest (het)","party","Ze gaven een groot feest.","celebration","Het feest was gezellig."
"feit (het)","fact","Het is een feit dat hij gelijk heeft.","truth","Dit feit is belangrijk."
"feitelijk","actually","Feitelijk is dat juist.","in fact","Hij was feitelijk aanwezig."
"fel","bright","De lamp is fel.","strong","Hij reageerde fel."
"fiets","bike","Ze rijdt op de fiets.","bicycle","De fiets stond buiten."
"figuur (de)","figure","Een belangrijke figuur in de politiek.","person","Hij is een bekende figuur."
"figuur (het)","figure","De cirkel is een figuur.","shape","Hij tekende een figuur."
"fijn","fine","Wat een fijne dag!","pleasant","Ze voelt zich fijn."
"file","traffic jam","Er stond een lange file.","queue","Ze stonden in de file."
"film","film","We kijken een film.","movie","De film was spannend."
"financieel","financial","Ze kregen financieel advies.","economic","Hij heeft financiële problemen."
"flat","apartment","Ze wonen in een flat.","building","De flat heeft tien verdiepingen."
"flauw","weak","De soep is flauw.","silly","Ze maakte een flauwe grap."
"fles","bottle","Ze dronken een fles wijn.","flask","Hij vulde een fles met water."
"fluisteren","to whisper","Ze moesten zachtjes fluisteren.","to murmur","Hij fluisterde iets in haar oor."
"foto","photo","Ze maakte een mooie foto.","picture","Hij liet de foto zien."
"fout (bn)","wrong","Dat antwoord is fout.","incorrect","Hij gaf een fout voorbeeld."
"fout (de)","mistake","Ze maakte een fout.","error","De fout was groot."
"fraai","beautiful","Wat een fraai schilderij.","fine","Hij vond het fraai gedaan."
"friet","fries","Ze aten friet met mayonaise.","chips","Een portie friet graag."
"fris","fresh","Het is fris buiten.","cool","Ze dronken een fris drankje."
"frites","fries","Ze bestelden frites bij de snackbar.","French fries","Ze eten graag frites."
"fruit (het)","fruit","Fruit is gezond.","produce","Ze kocht fruit op de markt."
"functie","function","Wat is de functie van dit apparaat?","role","Ze kreeg een nieuwe functie op het werk."
"functioneren","to function","Het apparaat functioneert goed.","to operate","De machine functioneert zonder problemen."
"G","G","De letter G komt na F.","gee","Hij schrijft een G."
"gaan","to go","Ze gaan naar school.","to leave","We gaan morgen weg."
"gang","corridor","De gang is lang.","hallway","Ze liepen door de gang."
"garage","garage","De auto staat in de garage.","carport","Ze bouwden een nieuwe garage."
"gas (het)","gas","Ze kookten op gas.","fuel","Het gas raakte op."
"gast","guest","Ze hadden een gast aan tafel.","visitor","De gast bleef slapen."
"gat (het)","hole","Er zit een gat in de muur.","opening","Ze vielen in een gat."
"gauw","soon","Ze komt gauw terug.","quickly","Gauw gingen ze naar huis."
"gebaar (het)","gesture","Hij maakte een vriendelijk gebaar.","sign","Ze gaf een gebaar van instemming."
"gebeuren","to happen","Er kan veel gebeuren.","to occur","Wat er gaat gebeuren, is onbekend."
"gebeurtenis","event","De gebeurtenis was bijzonder.","incident","Het was een belangrijke gebeurtenis."
"gebied (het)","area","Ze wonen in een mooi gebied.","region","Het gebied is groot."
"geboren","born","Hij is in mei geboren.","native","Ze is in Amsterdam geboren."
"gebouw (het)","building","Het gebouw is nieuw.","structure","Ze werken in een groot gebouw."
"gebrek (het)","lack","Er is een gebrek aan water.","shortage","Ze hadden een gebrek aan tijd."
"gebruik (het)","use","Het gebruik van smartphones is toegenomen.","usage","Dit gebruik is algemeen."
"gebruiken","to use","Ze moet dit apparaat gebruiken.","to employ","Hij gebruikt vaak dezelfde methode."
"gedachte","thought","Ze had een vreemde gedachte.","idea","Zijn gedachte was interessant."
"gedeelte (het)","part","Een gedeelte van het boek is spannend.","section","Dit gedeelte is belangrijk."
"gedrag (het)","behavior","Zijn gedrag was vreemd.","conduct","Ze bestudeerden gedrag."
"geduld (het)","patience","Hij heeft veel geduld.","tolerance","Ze toonde geduld."
"gedurende","during","Gedurende de nacht sliep hij.","over","Gedurende het jaar veranderde er veel."
"geel","yellow","De zonnebloem is geel.","blond","Hij droeg een geel shirt."
"geen","no","Er is geen melk meer.","none","Ze hebben geen plannen."
"geest","spirit","De geest van het feest is vrolijk.","mind","Ze heeft een sterke geest."
"geestelijk","mental","Geestelijke gezondheid is belangrijk.","spiritual","Ze volgt een geestelijke weg."
"gegeven (het)","data","Het gegeven is belangrijk.","fact","Ze noteerden elk gegeven."
"geheel (het)","whole","Het geheel is meer dan de som der delen.","entirety","Ze zagen het geheel."
"geheim (het)","secret","Ze deelden een geheim.","mystery","Hij heeft een groot geheim."
"gek","crazy","Ze doet soms gek.","mad","Hij is een beetje gek."
"gek (de)","madman","Ze zeiden dat hij een gek is.","lunatic","De gek werd geholpen."
"geld (het)","money","Ze spaarde geld.","cash","Hij gaf veel geld uit."
"gelden","to apply","Deze regels gelden voor iedereen.","to be valid","De korting geldt alleen vandaag."
"geleden","ago","Tien jaar geleden woonden ze hier.","back","Lang geleden was het anders."
"gelegenheid","opportunity","Ze grepen de gelegenheid.","occasion","De gelegenheid was uniek."
"geleidelijk","gradually","Het proces ging geleidelijk.","step by step","Ze verbeterden zich geleidelijk."
"gelijk (het)","right","Hij had het gelijk aan zijn kant.","justice","Ze kregen hun gelijk."
"gelijk","equal","Ze zijn gelijk in lengte.","same","Ze kwamen gelijk aan."
"geloof (het)","faith","Ze hebben geloof in hem.","religion","Het geloof speelt een rol."
"geloven","to believe","Ik kan het niet geloven.","to trust","Ze geloven in succes."
"geluid (het)","sound","Het geluid was hard.","noise","Ze hoorden een vreemd geluid."
"geluk (het)","luck","Ze hadden veel geluk.","happiness","Geluk is belangrijk."
"gelukkig","happy","Ze waren gelukkig samen.","fortunately","Gelukkig kwam hij op tijd."
"gemakkelijk","easy","Het examen was gemakkelijk.","simple","Het is gemakkelijk te begrijpen."
"gemeenschap","community","Ze werken voor de gemeenschap.","society","De gemeenschap helpt elkaar."
"gemeenschappelijk","common","Ze hebben gemeenschappelijke vrienden.","shared","Ze vonden een gemeenschappelijk doel."
"gemeente","municipality","De gemeente regelt het afval.","town","De gemeente is verantwoordelijk."
"generatie","generation","Elke generatie heeft zijn uitdagingen.","age group","Deze generatie denkt anders."
"genieten","to enjoy","Ze genieten van het mooie weer.","to relish","Ik geniet van muziek."
"genoeg (bw)","enough","Ze hadden genoeg gegeten.","sufficiently","Hij werkte genoeg."
"genoeg (onbep telw)","enough","Er waren genoeg stoelen.","sufficient","Ze hebben genoeg tijd."
"genoegen (het)","pleasure","Met genoegen accepteer ik dit.","joy","Het was een genoegen."
"geregeld","regularly","Ze belt geregeld naar huis.","often","Ze bezochten geregeld hun ouders."
"gering","small","Ze hadden een gering budget.","slight","Het verschil was gering."
"gerust","calm","Ze bleef gerust tijdens de storm.","assured","Hij voelde zich gerust."
"geschiedenis","history","Ze studeert geschiedenis.","past","De geschiedenis van dit land is rijk."
"geschikt","suitable","Het is geschikt voor kinderen.","appropriate","Ze is geschikt voor de baan."
"gesloten","closed","De winkel is gesloten.","locked","De deur is gesloten."
"gesprek (het)","conversation","Ze hadden een gesprek.","talk","Het gesprek was interessant."
"gestalte","figure","Ze zagen een gestalte in het donker.","shape","De gestalte was groot."
"getrouwd","married","Ze zijn getrouwd.","wed","Hij is al tien jaar getrouwd."
"geur","smell","De geur van bloemen was sterk.","scent","Ze rook een vreemde geur."
"gevaar (het)","danger","Er was gevaar op de weg.","risk","Ze zagen het gevaar te laat."
"gevaarlijk","dangerous","Het is gevaarlijk om daar te zwemmen.","risky","De situatie was gevaarlijk."
"geval (het)","case","In dat geval moeten we wachten.","instance","Het geval werd onderzocht."
"geven","to give","Ze wil een cadeau geven.","to grant","Hij gaf advies."
"gevoel (het)","feeling","Hij had een goed gevoel.","emotion","Ze beschreef haar gevoel."
"gevoelen (het)","feelings","Hij sprak over zijn gevoelen.","sentiments","Ze toonde haar gevoelen."
"gevolg (het)","consequence","De regen had veel gevolg.","result","Het gevolg was duidelijk."
"geweld (het)","violence","Geweld moet vermeden worden.","force","Ze veroordeelden het geweld."
"geweldig","great","Het was een geweldig feest.","amazing","Hij voelt zich geweldig."
"gewoon","ordinary","Ze droeg gewone kleren.","normal","Hij doet gewoon mee."
"gewoonlijk","usually","Gewoonlijk eet hij brood.","normally","Ze komen gewoonlijk laat."
"gewoonte","habit","Ze heeft de gewoonte om vroeg op te staan.","custom","Dat is een oude gewoonte."
"gezag (het)","authority","De leraar heeft gezag.","power","Ze respecteerden zijn gezag."
"gezellig","cozy","Het was gezellig bij hen.","pleasant","Ze hadden een gezellige avond."
"gezelschap (het)","company","Hij houdt van goed gezelschap.","group","Ze waren in goed gezelschap."
"gezicht (het)","face","Ze keek hem in het gezicht.","look","Zijn gezicht was rood."
"gezin (het)","family","Ze hebben een groot gezin.","household","Het gezin woont samen."
"gezond","healthy","Ze eet gezond.","fit","Hij is gezond."
"gezondheid","health","Gezondheid is belangrijk.","well-being","Ze praten over gezondheid."
"gisteravond","last night","Ik zag hem gisteravond.","yesterday evening","Gisteravond gingen we uit."
"gisteren","yesterday","Gisteren was het druk.","the day before today","Ze belden gisteren."
"gisterenavond","yesterday evening","Ze kwamen gisterenavond thuis.","last night","Gisterenavond was gezellig."
"glans","shine","De glans op het metaal is mooi.","gloss","Het had een glans van goud."
"glas (het)","glass","Hij dronk een glas water.","pane","Het glas was gebroken."
"glijden","to slide","Ze gleed op het ijs.","to slip","Hij liet het boek glijden."
"glimlachen","to smile","Ze moest glimlachen.","to grin","Hij glimlachte breed."
"glimmen","to shine","Het metaal bleef glimmen.","to gleam","Zijn ogen glommen."
"god","god","Ze geloofden in een god.","deity","Hij bad tot God."
"goed (het)","goods","Ze verkochten hun goed.","property","Het goed was waardevol."
"goed","good","Hij is een goede vriend.","well","Ze deden het goed."
"goedemiddag","good afternoon","Goedemiddag, hoe gaat het?","hello","Ze zei goedemiddag tegen hem."
"goedemorgen","good morning","Goedemorgen, slaap je lekker?","morning greeting","Ze wensten elkaar goedemorgen."
"goedenacht","good night","Goedenacht, slaap lekker.","night greeting","Hij zei goedenacht."
"goedenavond","good evening","Goedenavond, welkom.","evening greeting","Ze zeiden goedenavond."
"goedendag","good day","Goedendag, meneer.","greeting","Hij groette met goedendag."
"goedkeuren","to approve","Ze moesten het plan goedkeuren.","to accept","De raad keurde het goed."
"goedkoop","cheap","Het boek was goedkoop.","inexpensive","Ze kochten goedkope spullen."
"goedvinden","to agree","Hij kon het niet goedvinden.","to approve","Ze vond het goed."
"golf","wave","De golf was hoog.","surf","Ze zagen een golf op zee."
"gooien","to throw","Ze willen een bal gooien.","to toss","Hij gooide de sleutel weg."
"gordijn (het)","curtain","Het gordijn is gesloten.","drape","Ze trokken het gordijn open."
"goud (het)","gold","Het sieraad is van goud.","precious metal","Ze kochten goud."
"graag","gladly","Ik wil graag helpen.","with pleasure","Ze zien hem graag."
"gram (het)","gram","Het recept vraagt om 200 gram suiker.","unit","Ze wogen een gram zout."
"grap","joke","Hij maakte een grap.","jest","Ze lachten om de grap."
"gras (het)","grass","Het gras is groen.","lawn","Ze maaiden het gras."
"gratis","free","De entree is gratis.","no cost","Ze kregen gratis toegang."
"grens","border","Ze staken de grens over.","limit","Ze wonen dicht bij de grens."
"grijpen","to grab","Ze probeerden het touw te grijpen.","to seize","Hij greep haar hand."
"grijs","gray","De lucht is grijs.","grey","Hij droeg een grijs pak."
"groeien","to grow","De plant groeit snel.","to develop","Kinderen groeien snel."
"groen","green","De bladeren zijn groen.","verdant","Ze schilderden het huis groen."
"groente","vegetable","Ze eten veel groente.","greens","De groente lag in de koelkast."
"groenteman","greengrocer","De groenteman verkocht verse producten.","produce seller","We gingen naar de groenteman."
"groep","group","Ze vormden een groep.","team","De groep werkte samen."
"groet","greeting","Ze stuurden een groet.","salute","Ze gaven elkaar een groet."
"groeten","to greet","Ze gingen hun vrienden groeten.","to say hello","Hij groette de buren."
"grond","ground","De grond was nat.","soil","Ze vielen op de grond."
"groot","big","Het huis is groot.","large","Ze hebben een grote tuin."
"gulden","guilder","De gulden was de oude munteenheid.","florin","Ze wisselden guldens in."
"gunstig","favorable","De omstandigheden waren gunstig.","advantageous","Ze hadden een gunstige kans."
"H","H","De letter H komt na G.","aitch","Hij oefende de H."
"haar (het)","hair","Haar haar is lang.","locks","Ze borstelt haar haar."
"haar","her","Ze gaf haar boek aan hem.","hers","Het is haar auto."
"haast (de)","rush","Er was veel haast.","hurry","Ze maakten haast om te vertrekken."
"haast","almost","Het is haast onmogelijk.","nearly","Ze is haast klaar."
"haastig","hasty","Ze maakte een haastig besluit.","quick","Hij liep haastig weg."
"halen","to fetch","Hij gaat water halen.","to get","Ze haalde de kinderen op."
"half","half","We aten een half brood.","half of","Het glas is halfvol."
"hallo","hello","Hallo, hoe gaat het?","hi","Ze zei hallo tegen hem."
"hand","hand","Ze stak haar hand uit.","palm","Hij hield haar hand vast."
"handel","trade","De handel groeide snel.","commerce","Ze spraken over handel."
"handelen","to act","Ze moeten snel handelen.","to trade","Hij handelt in tweedehands boeken."
"handhaven","to maintain","Ze willen de regels handhaven.","to uphold","De politie handhaaft de orde."
"hangen","to hang","De jas hangt aan de kapstok.","to suspend","Ze lieten de lamp hangen."
"hard","hard","De grond is hard.","tough","Hij werkte hard aan het project."
"hart (het)","heart","Zijn hart klopt snel.","core","Het hart van de stad is druk."
"hartelijk","cordial","Hartelijk dank voor uw hulp.","warm","Ze gaven elkaar een hartelijke groet."
"haven","harbor","De schepen liggen in de haven.","port","Ze kwamen aan in de haven."
"hebben","to have","Ze hebben een huis gekocht.","to possess","Ik heb drie boeken."
"heel","whole","Hij at een heel brood.","very","Ze is heel blij."
"heen","towards","Ze ging naar huis heen.","away","Ze liep heen en weer."
"heer","gentleman","De heer sprak beleefd.","sir","Ze groette de heer."
"heerlijk","delicious","De soep was heerlijk.","lovely","Het weer is heerlijk."
"heersen","to reign","De koning zal lang heersen.","to prevail","Rust heerst in het dorp."
"heet","hot","Het water is heet.","called","De hond heet Max."
"heftig","fierce","De storm was heftig.","intense","Hij had een heftige discussie."
"heilig","holy","De kerk is een heilige plaats.","sacred","Het boek is heilig."
"hek (het)","fence","Ze maakten het hek dicht.","gate","Het hek is geschilderd."
"helder","clear","Het water is helder.","bright","Hij gaf een helder antwoord."
"heleboel","lot","Ze hebben een heleboel boeken.","many","Er was een heleboel te doen."
"helemaal","completely","Ze is helemaal klaar.","entirely","Het huis is helemaal schoon."
"helft","half","De helft van de klas is ziek.","portion","Hij at de helft op."
"helpen","to help","Ze helpen hun buren graag.","to assist","Wil je me helpen met dit werk?"
"hem","him","Ze gaf het aan hem.","himself","Ik heb hem gezien."
"hemel","sky","De hemel is blauw.","heaven","Hij geloofde in de hemel."
"hen","them","Ze kent hen allemaal.","those","Hen heb ik gisteren gezien."
"herfst","autumn","De bladeren vallen in de herfst.","fall","Herfst is een kleurrijk seizoen."
"herhalen","to repeat","Kun je dat herhalen?","to revise","Ze herhalen de woorden voor het examen."
"herinneren","to remember","Ik herinner me dat moment nog.","to remind","Herinner hem aan de afspraak."
"herinnering","memory","Ze heeft een mooie herinnering.","recollection","De herinnering bleef levendig."
"herkennen","to recognize","Ik herken dat gezicht.","to identify","Ze kon hem niet herkennen."
"herstellen","to recover","Hij moest herstellen van de operatie.","to repair","Ze herstellen de brug."
"het (pers vnw)","it","Het regent vandaag.","itself","Ik bedoel het als grap."
"het","the","Het boek ligt op tafel.","the","Het kind speelt buiten."
"heten","to be called","Ik heet Anna.","to name","Hoe heet jouw hond?"
"hetgeen","that which","Hetgeen hij zei, was interessant.","what","Hetgeen ik bedoel, is duidelijk."
"hetzelfde","the same","Ze dragen hetzelfde shirt.","identical","Hij zei hetzelfde als ik."
"heuvel","hill","Ze liepen over een heuvel.","mound","De heuvel is hoog."
"hevig","severe","De pijn was hevig.","heavy","Ze hadden hevige regenval."
"hier","here","Kom hier!","at this place","Ze zijn hier gebleven."
"hij","he","Hij is mijn broer.","him","Ken jij hem?"
"historisch","historical","Ze bezochten een historisch museum.","historic","Het was een historisch moment."
"hoe","how","Hoe gaat het met je?","what","Hoe heet je?"
"hoed","hat","Ze droeg een rode hoed.","cap","Hij zette een hoed op."
"hoek","corner","Het huis staat op de hoek.","angle","De hoek is scherp."
"hoeveel","how much","Hoeveel kost dit?","how many","Hoeveel mensen komen er?"
"hoeveelheid","amount","Een grote hoeveelheid water stroomde binnen.","quantity","Ze hadden een hoeveelheid suiker nodig."
"hoeven","to need","Je hoeft niet te komen.","to have to","Ik hoef dit niet te doen."
"hoewel","although","Hoewel het regende, gingen ze wandelen.","though","Hoewel hij moe was, werkte hij door."
"hond","dog","De hond blaft.","canine","Ze wandelen met de hond."
"honger","hunger","Ze hadden veel honger.","starvation","De kinderen hadden honger."
"hoofd (het)","head","Ze had pijn in haar hoofd.","chief","Het hoofd van de school sprak."
"hoofdzakelijk","mainly","De groep bestond hoofdzakelijk uit studenten.","primarily","Hij werkt hoofdzakelijk in de stad."
"hoog","high","De toren is hoog.","tall","Hij sprong hoog."
"hoogte","height","De hoogte van de berg is groot.","altitude","Ze bereikte een hoogte van duizend meter."
"hoop","hope","Ze hadden hoop op een goede afloop.","pile","Er lag een hoop stenen."
"hopen","to hope","Ik hoop dat het lukt.","to wish","Ze hopen op beter weer."
"horen","to hear","Ze konden hem niet horen.","to listen","Hoor je dat geluid?"
"horloge (het)","watch","Hij droeg een duur horloge.","timepiece","Ze kocht een nieuw horloge."
"hotel (het)","hotel","Ze verbleven in een luxe hotel.","inn","Het hotel ligt aan zee."
"houden","to hold","Hij kan het touw niet houden.","to keep","Ze houden van muziek."
"houding","attitude","Zijn houding was positief.","posture","De houding van het beeld is bijzonder."
"hout (het)","wood","De tafel is van hout gemaakt.","timber","Ze verzamelden hout voor het vuur."
"huidig","current","De huidige situatie is lastig.","present","Dit is het huidig beleid."
"huilen","to cry","Het kind begon te huilen.","to weep","Ze huilde van blijdschap."
"huis (het)","house","Ze kochten een groot huis.","home","Het huis staat aan de gracht."
"huishouden (het)","household","Het huishouden kost veel tijd.","domestic work","Ze deden samen het huishouden."
"huiskamer","living room","Ze zaten in de huiskamer.","lounge","De huiskamer is gezellig ingericht."
"hulp","help","Ze vroegen om hulp.","aid","Hij bood hulp aan."
"hun (pers vnw)","them","Ze gaf het aan hun.","to them","Het behoort aan hun."
"hun (bez vnw)","their","Hun huis is mooi.","theirs","Het is hun boek."
"huren","to rent","Ze willen een appartement huren.","to hire","Hij huurde een fiets."
"hut","hut","Ze sliepen in een houten hut.","cabin","De hut stond in het bos."
"huur","rent","De huur is verhoogd.","lease","Hij betaalt de huur elke maand."
"huwelijk (het)","marriage","Hun huwelijk duurde lang.","wedding","Ze vierden hun huwelijk groots."
"I","I","De letter I komt na H.","eye","Hij oefent de I."
"ideaal (het)","ideal","Het ideaal is moeilijk te bereiken.","dream","Ze hadden hetzelfde ideaal."
"idee (het)","idea","Ze had een goed idee.","plan","Hij presenteerde zijn idee."
"ieder","each","Ieder kind kreeg een cadeau.","every","Ze kennen ieder detail."
"iedereen","everyone","Iedereen is welkom.","everybody","Ze begroetten iedereen."
"iemand","someone","Er staat iemand voor de deur.","somebody","Hij zag iemand lopen."
"iets (onbep vnw)","something","Ik wil je iets vertellen.","anything","Heb je iets nodig?"
"iets (bw)","somewhat","Het is iets beter geworden.","slightly","Ik ben iets later."
"ijs (het)","ice","Ze schaatsten op het ijs.","frozen water","Het ijs smolt snel."
"ijzer (het)","iron","De brug is van ijzer.","metal","Ze gebruikten ijzer in de bouw."
"ik","I","Ik ga naar huis.","me","Ik vind het leuk."
"immers","after all","Het is immers logisch.","you know","Ze komt ook, immers ze woont dichtbij."
"in (vz)","in","Het boek ligt in de kast.","inside","Ze zat in de auto."
"in (bw)","in","Hij is in huis.","inside","Ze bleef in tijdens de regen."
"inderdaad","indeed","Dat is inderdaad waar.","certainly","Inderdaad, het klopt."
"indertijd","at that time","Indertijd was alles anders.","formerly","Indertijd was er geen internet."
"indien","if","Indien nodig bel ik je.","in case","Indien het regent, blijven we binnen."
"individueel","individual","Ze kregen een individueel plan.","separate","Iedere leerling had een individueel schema."
"indruk","impression","Het boek maakte indruk.","impact","Ze had een goede indruk."
"industrie","industry","De industrie groeit.","manufacturing","Ze werken in de industrie."
"industrieel","industrial","Dit gebied is industrieel.","industrialized","Ze hebben een industrieel park."
"ineens","suddenly","Ineens begon het te regenen.","all of a sudden","Ineens stond hij voor me."
"informatie","information","Ze gaf veel informatie.","data","De informatie was nuttig."
"ingaan","to enter","Ze wilde op het aanbod ingaan.","to address","Ze gingen in op het voorstel."
"ingang","entrance","De ingang is aan de voorkant.","entry","Ze liepen door de ingang."
"ingenieur","engineer","Hij is ingenieur van beroep.","technical expert","De ingenieur ontwierp de brug."
"ingewikkeld","complicated","Het is een ingewikkeld probleem.","complex","De uitleg was ingewikkeld."
"inhoud","content","De inhoud van het boek is interessant.","volume","Ze onderzochten de inhoud van de doos."
"inhouden","to contain","De fles kan een liter inhouden.","to withhold","Hij moest zijn woede inhouden."
"initiatief (het)","initiative","Ze namen het initiatief.","proposal","Hij kwam met een nieuw initiatief."
"inlichting","information","Ze vroegen om inlichting.","enquiry","Hij gaf inlichtingen aan de klant."
"inmiddels","meanwhile","Ze zijn inmiddels aangekomen.","by now","Ik ben inmiddels klaar."
"innemen","to take","Ze moest medicijnen innemen.","to occupy","Het leger nam de stad in."
"instantie","authority","Ze gingen naar de juiste instantie.","institution","De instantie gaf toestemming."
"instappen","to get in","Ze moesten snel instappen.","to board","Hij stapte in de trein."
"instellen","to set","Ze moest haar telefoon instellen.","to configure","Ze stelden de machine in."
"instelling","institution","De instelling helpt jongeren.","organization","Ze bezochten een instelling."
"instrument (het)","instrument","Hij speelt een instrument.","tool","Ze gebruikten een instrument voor de meting."
"interessant","interesting","Het boek is interessant.","engaging","Ze had een interessant idee."
"interesseren","to interest","Dit onderwerp interesseert me.","to attract","Ze interesseert zich voor kunst."
"internationaal","international","Ze werken voor een internationaal bedrijf.","global","Hij heeft een internationaal paspoort."
"intussen","meanwhile","Intussen wachten we hier.","in the meantime","Ze werkten intussen door."
"inzicht (het)","insight","Ze kreeg inzicht in het probleem.","understanding","Zijn inzicht was waardevol."
"inzien","to realize","Hij kon zijn fout inzien.","to understand","Ze zag in dat het belangrijk was."
"ja","yes","Ja, ik wil mee.","yeah","Ja, dat klopt."
"jaar (het)","year","Een jaar heeft twaalf maanden.","annum","Ze werkten een jaar lang."
"jacht","hunt","Ze gingen op jacht.","yacht","De jacht ligt in de haven."
"jammer","pity","Het is jammer dat je niet komt.","too bad","Jammer dat het regent."
"januari","January","Ze beginnen in januari.","Jan","Januari is koud."
"jarig","birthday","Ze is vandaag jarig.","having a birthday","Wie is er jarig?"
"jas","coat","Hij draagt een warme jas.","jacket","Ze kocht een nieuwe jas."
"jasje (het)","jacket","Het jasje past goed.","blazer","Ze droeg een net jasje."
"jawel","yes indeed","Jawel, ik begrijp het.","certainly","Jawel, dat is waar."
"je (pers vnw)","you","Ken je hem?","you (object)","Ik zag je daar."
"je (wederk vnw)","yourself","Was je je handen?","oneself","Je moet je haasten."
"je (bez vnw)","your","Je tas ligt daar.","yours","Is dit je pen?"
"jeugd","youth","Ze hadden een fijne jeugd.","adolescence","De jeugd speelt buiten."
"jij","you","Jij bent mijn vriend.","you (subject)","Ken jij hem?"
"jong","young","Ze hebben een jong kind.","youthful","Hij is nog jong."
"jonen","boys","De jonen speelden buiten.","guys","Ze groette de jonen."
"jou","you","Ik zie jou morgen.","you (object)","Dit is voor jou."
"journalist","journalist","Ze sprak met een journalist.","reporter","De journalist schreef een artikel."
"jouw","your","Is dit jouw boek?","yours","Het is jouw keuze."
"juffrouw","miss","De juffrouw gaf les.","teacher","Ze groetten de juffrouw."
"juist","correct","Dat is juist.","exact","Ze gaf het juiste antwoord."
"juli","July","Ze gaan in juli op vakantie.","Jul","Juli is warm."
"jullie (pers vnw)","you","Jullie moeten komen.","you (plural)","Ik zag jullie gisteren."
"jullie (bez vnw)","your","Is dit jullie huis?","yours (plural)","Het is jullie verantwoordelijkheid."
"juni","June","Ze trouwden in juni.","Jun","Juni is een mooie maand."
"jurk","dress","Ze droeg een blauwe jurk.","gown","De jurk was elegant."
"kaart","card","Ze stuurde een kaart.","map","Hij kocht een kaart van de stad."
"kaas","cheese","Ze aten brood met kaas.","dairy product","Hij houdt van oude kaas."
"kamer","room","De kamer is groot.","chamber","Ze gingen naar hun kamer."
"kabinet (het)","cabinet","Het kabinet nam een besluit.","government","Ze bespraken het kabinet."
"kader (het)","frame","Het schilderij zit in een kader.","framework","Het kader is breed."
"kamp (het)","camp","Ze sliepen in een kamp.","campground","Het kamp duurde een week."
"kans","chance","Hij kreeg een kans.","opportunity","Ze grepen hun kans."
"kant","side","Aan welke kant sta je?","edge","De kant van de tafel is beschadigd."
"kantoor (het)","office","Hij werkt op kantoor.","bureau","Het kantoor is gesloten."
"kapitein","captain","De kapitein sprak de bemanning toe.","commander","Ze groetten de kapitein."
"kapot","broken","Het glas is kapot.","destroyed","De machine is kapot."
"kapper","hairdresser","Hij ging naar de kapper.","barber","De kapper knipte zijn haar."
"karakter (het)","character","Zijn karakter is vriendelijk.","nature","Ze heeft een sterk karakter."
"kast","cupboard","Het servies staat in de kast.","closet","Ze openden de kast."
"kat","cat","De kat ligt te slapen.","feline","Ze aaiden de kat."
"katholiek","Catholic","Ze gingen naar de katholieke kerk.","Roman Catholic","Hij is katholiek."
"keel","throat","Ze had pijn in haar keel.","gullet","Zijn keel doet zeer."
"keer","time","Dit keer gaat het beter.","occasion","Volgende keer lukt het."
"kelder","basement","Ze hebben wijn in de kelder.","cellar","De kelder is vochtig."
"kennelijk","apparently","Kennelijk wist hij het niet.","obviously","Kennelijk was ze niet blij."
"kennen","to know","Ik ken hem al lang.","to be familiar","Ze kende het liedje."
"kennis","knowledge","Kennis is belangrijk.","acquaintance","Ze maakten kennis met elkaar."
"kennismaken","to meet","Ze wilden kennismaken met de buren.","to get to know","Hij stelde zich voor om kennis te maken."
